idTransaccion,nombre_origen,nombre_destino,fecha,importe
57,Shaeleigh Bailey,Hadley England,2023-02-15,78683.29
58,Ivy Chandler,Hoyt Camacho,2022-09-18,14710.15
59,Otto Harding,Orson Nunez,2023-09-14,45887.18
60,Roary Whitfield,Micah David,2023-10-17,24058.07
61,Basil Rose,Deanna Cross,2022-12-18,86359.29
62,Roth Barry,Francis Hawkins,2022-09-06,25448.15
63,Burke Webster,Keane Wiggins,2023-05-21,73954.14
64,Tucker Everett,Ayanna Owen,2023-12-06,83.19
65,Shelley Ball,Chase Parsons,2023-04-04,95141.15
66,Grady Barton,Francis Branch,2023-06-28,89859.08
67,Yasir Pace,Amal Salazar,2023-09-26,95468.55
68,Avram Sears,Samantha Boyd,2023-06-16,27304.37
69,Colby Murphy,Xena Sweeney,2023-03-27,79181.76
70,Arthur Oneil,Mechelle Chapman,2023-03-16,4105.09
71,Idola Benson,Dexter Graves,2023-10-10,8590.2
72,Micah Blackwell,Hedda Holman,2024-01-18,82116.29
73,Melvin Griffin,Willa Atkinson,2023-03-01,30486.93
74,Isabelle Lane,Madaline Cooke,2023-10-19,39294.46
75,Kay Saunders,Cameron Donaldson,2023-01-17,25634.51
76,Imani Morse,Alexis Adams,2023-02-25,20773.91
77,Halla Brewer,Elaine Grimes,2023-10-31,9581.69
78,Brenden Bonner,Josephine Valenzuela,2023-08-24,94251.61
79,Orla Hatfield,Delilah Underwood,2023-02-13,1026.17
80,Chastity Kelly,Drew Roth,2022-08-06,80941.81
81,Wesley Bush,Ima Herrera,2023-05-09,6468.53
82,Tallulah Mack,Iliana Bernard,2024-02-06,41132.05
83,Keaton Bonner,Paki Thompson,2024-01-08,25529.37
84,Boris Gamble,Galena Daniels,2023-11-26,15389.46
85,Hilda Short,Cora Salazar,2022-06-14,16060.27
86,Janna Wall,Cailin Sloan,2022-11-01,78902.21
87,Darius Hartman,Dara Bentley,2023-10-18,14252.49
88,Noelle Owens,Leslie Jones,2023-10-24,41198.69
89,Ross Moreno,Harper Blake,2022-11-14,60171.6
90,Charissa Santana,Jermaine Stout,2024-04-02,5267.41
91,Chaim Webb,Germaine Herring,2023-06-29,13458.31
92,Dana Whitley,Chelsea Wyatt,2023-06-14,36432.46
93,Summer Marsh,Tucker Dodson,2024-03-20,68335.41
94,Declan Best,Rigel Gonzalez,2024-03-24,61501.84
95,Alexander Whitaker,Venus Estes,2022-10-03,39832.42
96,Reuben Sykes,Lane Waters,2023-11-10,16339.23
97,Hilary Sanchez,Kylynn Wood,2023-12-22,66969.76
98,Knox Hernandez,Irma Cleveland,2023-09-18,64377.04
99,Stephen Sandoval,Rashad Savage,2022-07-17,60155.88
100,Mufutau Burt,Wing Lester,2024-05-13,28159.85
101,Daryl Grimes,Ruth Goodman,2023-06-19,70666.02
102,Jennifer Banks,Yasir Patton,2022-11-27,36652.05
103,Deirdre Benson,Nathaniel Phillips,2024-02-29,45838.47
104,Germane Castillo,Jarrod Smith,2023-08-17,84447.86
105,Adam Benton,Driscoll Blankenship,2022-08-28,84309.04
106,Imogene Barker,Shaine Mathis,2022-11-10,62097.24
107,Owen Joyce,Nehru Hayden,2023-10-04,84289.82
108,Bruno Heath,Alvin Castillo,2022-08-23,61029.53
109,Jane Durham,Kibo Mclean,2023-12-28,85451.72
110,Katell Rodriguez,Alvin Carrillo,2024-01-17,67128.1
111,Vernon Parrish,Cherokee French,2023-02-07,96134.18
112,Ali Rowe,Diana Hooper,2022-06-28,65316.3
113,Acton Morin,Zephania Solis,2023-05-02,85497.37
114,Felicia Figueroa,Gray Marshall,2024-05-24,27863.76
115,Reed Wyatt,Wade Mcguire,2022-07-15,70231.35
116,Anastasia Bender,Armand Fernandez,2024-01-23,72151.67
117,Eliana Beard,Lila Fox,2024-04-29,73198.32
118,Cally Buckner,Ryder Taylor,2023-01-31,60826.47
119,Paula Hughes,Julie Bradley,2022-06-25,66409.42
120,Timothy Petersen,Ferris Lane,2023-05-03,76224.52
121,Lacy Peterson,Clio Dillon,2022-08-09,10643.68
122,Galena Webb,Rana Howell,2023-11-14,10708.33
123,Nelle Perkins,Amena Hensley,2023-04-19,80570.75
124,Kyra Sears,Ryder Bernard,2023-02-09,10086.32
125,Allistair Wright,Emmanuel Becker,2023-12-27,26233.51
126,Bradley Chang,Kelsey Michael,2024-05-21,70330.35
127,Lysandra Fulton,Flynn Adkins,2023-08-25,5834.34
128,Rana Wilkinson,Dolan Rice,2023-01-30,76478.18
129,Fallon Dillon,Joseph Herring,2023-05-24,64076.18
130,Kiayada Fitzgerald,Erica Ruiz,2024-05-23,65156.79
131,MacKensie Ochoa,Ila Calderon,2022-06-05,72649.38
132,Keaton Lancaster,Amos Pennington,2024-03-23,91214.28
133,Amir Frazier,Lyle Case,2022-07-21,95793.94
134,Catherine Workman,Mia Atkinson,2022-10-20,25156.26
135,Kirsten Barrera,Tarik Larsen,2024-01-13,12582.95
136,Idola Williams,Nehru Hunter,2024-05-18,2693.97
137,Lester Robinson,Uriel Waters,2023-07-24,47254.06
138,Arsenio Cameron,Channing Dominguez,2023-09-13,34814.68
139,Dacey Spears,Ila Horne,2022-12-14,5020.29
140,Darius Simpson,Armand Frye,2022-12-07,35955.77
141,Faith Phillips,Charissa O'donnell,2022-06-17,40259.65
142,Cally Compton,Jin Lowe,2022-06-15,52639.53
143,Bree Holland,Herman Allen,2023-04-26,84841.13
144,Ava Nichols,Rogan Koch,2022-10-06,64873.9
145,Tad Lester,Evan Meyer,2023-04-28,41397.86
146,Jael Taylor,Warren Bowers,2023-07-20,19164.69
147,Alana Hughes,Hammett Calhoun,2022-06-13,48142.06
148,Felicia Mccullough,Kevyn Holland,2024-02-23,31687.84
149,Calvin Barber,Tanisha Hicks,2022-07-15,69395.91
150,Leigh Wallace,Chancellor Holloway,2023-12-04,37885.12
151,Ella Rivas,Cally Hess,2023-05-07,9653.08
152,Gloria Green,Graiden Morin,2022-11-04,88428.44
153,Cara Cash,Orli Savage,2022-09-25,83388.74
154,Ezra Mccall,Trevor Gates,2022-07-12,37725.32
155,Kevin Slater,Naida Harrison,2022-08-15,59679.73
156,Reuben Davis,Dai Garrison,2022-12-04,57209.27
157,Clio Cleveland,Raphael Howell,2022-06-30,38807.66
158,Carol Miranda,William Rosa,2024-03-01,19226.96
159,Eugenia Ferguson,Bernard Salinas,2024-03-24,47186.64
160,Hadley Reed,Rashad Diaz,2022-12-02,1599.34
161,Hillary Christian,Eugenia Travis,2023-02-17,49179.18
162,Naida Peters,Myra Greer,2024-05-11,72710.31
163,Kessie Everett,Damon Alvarez,2023-02-28,9264.09
164,Maggy Giles,Regan Miranda,2022-07-08,79125.76
165,Summer York,Eleanor Mcleod,2024-01-14,43381.6
166,Jaquelyn Noble,Clare Levine,2023-12-29,73563.93
167,Samson Faulkner,Madeline Howard,2023-01-07,95911.73
168,Dorothy Conner,Phyllis Fuentes,2023-06-06,8142.59
169,Carolyn Clay,Kitra Mcdonald,2022-06-10,17306.25
170,Lance Finley,Desiree Osborne,2022-07-03,52974.16
171,Diana Hines,Silas Mason,2024-02-20,8885.54
172,Ian Booth,Callum Hurst,2023-12-30,98914.37
173,Malcolm Horne,Charde Wolf,2023-01-13,81432.09
174,Irene Callahan,Penelope Cummings,2022-11-03,61005.12
175,Duncan Carter,Wynne Jacobs,2023-01-26,9636.13
176,Jemima Franklin,Germaine Webb,2023-03-15,82661.34
177,Brady Wilder,Willa Cortez,2023-10-12,73953.91
178,Latifah Norris,Timon Parks,2023-08-07,6230.23
179,Lydia Cain,Sage Woodard,2022-12-03,97498.95
180,Vera Woods,Pearl Quinn,2022-07-08,82368.01
181,Zenia Coleman,Tanner Clayton,2022-06-14,76962.87
182,Evan Mann,Jacob Allen,2024-02-19,38507.84
183,Ann Soto,Amos Rhodes,2023-04-19,9307.16
184,Genevieve Puckett,Ralph Griffith,2022-08-04,67870.8
185,Preston Savage,Chiquita Walter,2023-08-13,79047.08
186,Adrian Sloan,Thaddeus Romero,2024-02-04,57578.53
187,Peter Barnett,Slade Schroeder,2022-12-23,5242.12
188,Brennan Spears,Roary Holmes,2023-02-04,36244.5
189,Veda Holcomb,Mollie Peterson,2023-06-19,46509.77
190,Nehru Morton,Noel Marsh,2022-06-14,17357.4
191,Melvin Myers,Iola Holloway,2024-03-05,21443.91
192,Adrienne Keith,Brenda Mcintyre,2024-03-12,17544.99
193,Ori Rush,Hadley Pickett,2023-12-30,15517.25
194,Jermaine Franklin,Octavia Rogers,2024-04-13,35735.51
195,Caldwell Ramsey,Keely Wood,2023-05-17,22698.61
196,Idola Bryan,Upton Santos,2023-09-21,75012.62
197,Cathleen Barlow,Fay Lawson,2023-04-14,32674.67
198,Carson Wolf,Kaitlin Newman,2023-12-22,13165.78
199,Brynn Valentine,Abigail Moon,2023-11-26,8068.18
200,Sean Mclaughlin,Zane Baxter,2024-02-11,16741.55
201,Prescott Wiley,Cameron Hamilton,2023-02-25,48069.59
202,Uriah Talley,Leilani Wall,2022-06-24,10033.36
203,Haley Church,Tucker Barlow,2023-11-09,37452.34
204,Octavia Houston,Jada Kim,2023-05-18,49218.18
205,Elliott Church,Oprah Parker,2023-04-27,23310.1
206,Quinn Owens,Preston Mcneil,2022-10-30,13606.96
207,Jarrod Norton,Amanda Sexton,2024-02-09,98966.62
208,Bo Adkins,Jermaine Warner,2022-07-24,63921.55
209,Garrett Ryan,Julian Hester,2023-04-17,68037.48
210,Indigo Koch,Adrian Pope,2023-07-30,74343.79
211,Miranda Maxwell,Gillian Hardin,2022-08-09,10111.08
212,Hammett Rutledge,Kevin Vazquez,2023-06-26,12477.54
213,Paki Schultz,Alan Reese,2023-12-31,49770.68
214,Chester Hampton,Aline Blake,2023-02-20,5842.26
215,Morgan Talley,Harlan Rasmussen,2024-05-22,31207.65
216,Clarke Robles,Cora Owens,2023-09-09,93918.97
217,Medge Frank,Yasir Christian,2023-01-09,70828.39
218,MacKensie Bender,Phelan Curtis,2022-10-18,57886.17
219,Buckminster Simon,Nolan Young,2024-01-24,915.93
220,Barclay Mcgee,Gareth Valenzuela,2024-02-26,1178.09
221,Fuller Jackson,Keiko Mccarty,2024-01-08,11746.58
222,Denton Potter,Jameson Wilkins,2023-05-11,77041.51
223,Maris Gentry,Rashad Bowen,2022-11-26,33120.93
224,Delilah Gordon,Fritz Mcintosh,2023-08-15,20728.29
225,Xenos English,Jolie Wheeler,2022-06-28,34768.04
226,Winter Holland,Kirestin Foley,2023-02-10,27283.57
227,Brittany Hall,Alika Vargas,2022-06-21,32592.88
228,Emery Trujillo,Ivana Rutledge,2022-09-21,61994.77
229,Sandra Tanner,Jasper Meyers,2022-07-24,92979.69
230,Gillian Patel,Jerry Fischer,2022-08-15,71607.89
231,Nevada Flowers,Louis Hayden,2023-11-13,64832.27
232,Akeem Johnston,Keiko Dixon,2024-04-02,96395.03
233,Solomon Pearson,Madeline Shaffer,2023-10-20,4176.04
234,Aquila Schroeder,Shay Ellison,2023-12-08,86822.11
235,Gregory Powell,Rahim Atkinson,2022-10-10,48097.09
236,Ralph Carlson,Nelle Marsh,2023-12-12,78548.86
237,Tatiana Quinn,Adara Carpenter,2023-05-04,1355.48
238,Raphael Robinson,Charde Steele,2022-10-09,64959.41
239,Imogene Valenzuela,Aimee Waters,2022-07-18,5790.01
240,Garth Baxter,Miranda Steele,2023-07-19,66363.85
241,Nasim Stark,Raven Rowe,2023-03-13,93890.14
242,Jarrod Wall,Nero Franco,2024-03-05,53975.8
243,Autumn Gamble,Jack Decker,2024-01-01,73420.91
244,Velma Wooten,Nell Mcdowell,2023-02-15,26013.4
245,Coby Compton,Ora Barton,2022-08-15,16588.49
246,Nasim Martinez,Charlotte Blackburn,2023-01-18,5536.97
247,Jerry Olsen,Lynn Long,2022-07-27,68654.15
248,Wallace Mcgowan,Francis Pollard,2023-04-08,69312.53
249,Josiah Sosa,Boris Mccray,2023-02-17,88997.11
250,Brady Walsh,Beverly Gates,2024-05-03,88802.31
251,Tanisha Hogan,Vaughan Saunders,2024-01-12,93864
252,Timothy Simmons,Yen Hartman,2022-11-07,69172.22
253,Jonas Fleming,Brenden Diaz,2023-05-06,27057.43
254,Reese Allen,Madison Trevino,2023-03-22,18832.91
255,Avram Gentry,Whoopi Ochoa,2023-08-06,92691.21
256,Ivy Hoffman,Ezra Vinson,2022-10-07,30570.4
257,Courtney Huffman,Karyn Chavez,2022-10-30,34732.58
258,Ira Smith,Jack Fry,2024-04-27,47911.04
259,Brian Jones,Noah Wiggins,2023-12-11,76759.57
260,Christopher Trujillo,Yolanda Stafford,2024-01-09,43898.06
261,Sophia Dillon,Palmer Cross,2023-08-25,21068.63
262,Quynn Rutledge,Jenna Clements,2023-06-03,81495.36
263,Tanya Gay,Acton Goff,2023-08-15,36041.03
264,Karly Gay,Robert Lowe,2024-04-01,74897.51
265,Indira Ferrell,Heather Moreno,2024-03-14,71291.22
266,Derek Cervantes,Craig Sutton,2022-09-06,12930.05
267,Gail Vaughn,Kimberly Macias,2023-12-22,52116.44
268,Phillip Phelps,Jayme Gill,2022-12-15,24878.39
269,Mannix Mercer,Sybill Wood,2022-11-01,48447.15
270,Keiko Ward,Yvette Mcclure,2022-08-21,48861.91
271,Bruno Randall,Florence Parker,2023-10-12,82816.03
272,Jacqueline Pace,Tara Navarro,2022-09-18,99393.28
273,Grady Jackson,Martin Herrera,2024-02-18,44389.41
274,Adena Henderson,Wynne Mejia,2023-08-17,6283.73
275,Jason Mcintosh,Graiden Beasley,2023-11-26,20771.7
276,Nathaniel Sweet,Kane Sheppard,2022-11-24,30568.31
277,Finn Love,Karen O'donnell,2022-08-23,71904.69
278,Yen Murphy,Gage Newton,2023-09-07,21952.78
279,Melodie Moran,Dominic Walter,2023-03-06,21448.03
280,Kylee Brooks,Orson Peters,2023-04-28,91077.39
281,Zena Santana,Jane O'Neill,2023-05-06,99807.89
282,Madeson Griffith,Logan Holder,2022-07-07,78508.13
283,Brett Head,Benedict Wright,2024-05-17,40492.89
284,Dolan Decker,Carly Hale,2023-09-05,78089.06
285,Astra Morgan,Seth Bauer,2024-01-29,104.9
286,Oprah Lowe,Nina Daugherty,2022-12-14,32330.64
287,Dahlia Bullock,Keegan Morrow,2023-11-25,35559.84
288,Zachery Leach,Wyoming Vega,2024-05-31,15630.18
289,Allegra Buckner,Bert Lucas,2023-04-19,6129.14
290,Cally Klein,Bethany Arnold,2023-05-05,24042.28
291,Kitra Duran,Genevieve Cross,2024-05-24,80766.94
292,Avram Pacheco,Alvin Finley,2022-07-08,71524.41
293,Brooke Holmes,Reese Spencer,2022-07-08,5180.34
294,Jacob Curtis,Oleg Hewitt,2024-03-23,49491.03
295,Anne Perkins,Emi Bender,2023-12-29,67499.81
296,Cameran Williamson,Ulric Wells,2023-07-21,29672.59
297,Brian Fox,Phyllis Walters,2023-07-16,14585.89
298,Boris Brewer,Hadassah Murphy,2022-10-06,53875.04
299,Giacomo Rice,Zahir Tanner,2023-04-30,31813
300,Orson Nichols,Reuben Mcmillan,2023-06-14,55361.91
301,Chandler Powers,Tyler Conway,2023-03-27,89682.54
302,Noelle Dyer,Garrett Mcclure,2023-05-25,78678.57
303,Xanthus Mcleod,Hayden Meadows,2023-06-12,67512.39
304,Cody Walls,Kermit Holder,2022-06-18,71194.89
305,Solomon Fischer,Asher Montoya,2023-04-24,56171.35
306,Fallon Morgan,Tanek Mayo,2022-09-08,83656.77
307,Rylee Whitney,Steven Tyson,2023-12-16,59857.54
308,Cade Slater,Kirestin Browning,2022-10-20,94063.79
309,Evan Cooley,Deborah Pate,2024-02-05,9301.02
310,Marshall Estrada,Hayden Sykes,2023-03-15,27092.34
311,Lucian Sharp,Fleur Sharpe,2023-02-03,15839.81
312,Cherokee Franklin,Finn Vincent,2023-03-05,99860.41
313,Clarke Parrish,Evangeline Atkins,2024-01-06,38516.82
314,Martina Gentry,Shelly Larsen,2022-07-16,52199.06
315,Troy Cochran,Amos Mann,2023-02-28,2942.38
316,Arthur Pratt,Lenore Key,2022-09-12,75486.57
317,Jordan Hart,Keiko Dodson,2023-03-05,17712.14
318,Shea Lindsay,Katelyn Stewart,2024-04-06,21403.79
319,Moses Mckenzie,Dylan Mcgee,2023-09-19,28571.43
320,Aphrodite Carson,Kyle Guerra,2022-06-20,85645.02
321,Yardley Bullock,Joy Williamson,2023-05-27,15185.65
322,Josiah Horne,Yardley Gilliam,2023-11-22,70353.07
323,Sylvester Atkinson,Anastasia Cantu,2022-10-02,85025.37
324,Evan Combs,Coby Wood,2022-08-19,54928.36
325,Cleo Clayton,Brianna Sanders,2023-05-19,81380
326,Julian Parrish,Rajah Phelps,2022-09-23,30639.6
327,Gary Sargent,Rinah Tillman,2024-01-05,62298.27
328,Dora Hewitt,Nyssa Garrison,2022-09-25,94236.76
329,Leigh Estes,Angelica Fernandez,2022-08-15,3924.46
330,Davis Vega,Mason Madden,2022-10-05,80856.18
331,Gavin Carr,Cathleen Aguirre,2022-07-10,55870.45
332,Merrill Beck,Reece Vega,2023-01-13,8813.35
333,Oleg Montoya,Clare Lee,2023-09-29,72972.85
334,Kieran Stanley,Lane Castro,2023-02-08,79024.45
335,Cameron Gay,Hall Harvey,2023-04-26,81036.77
336,Raymond Hendricks,Grace Barr,2022-12-18,41251.54
337,Iona Brewer,Jamalia Nichols,2023-02-22,14146.78
338,Bo Walter,Jonas Stevenson,2022-12-06,89814.9
339,Quyn Reilly,Gil Patel,2022-09-19,3779.47
340,Rashad Howe,Tarik Ayala,2023-05-15,91421.71
341,Kadeem Dorsey,Tanya Reed,2023-06-29,37077.36
342,Seth Landry,Amos Barrett,2023-04-15,69946.3
343,Jelani Davidson,Rafael Mullen,2022-11-23,4180.94
344,Ross Atkinson,Amaya Lowe,2022-10-13,14754.78
345,Morgan Allen,Amethyst Mcdonald,2022-08-28,14342.76
346,Molly Woods,Basil Slater,2024-03-25,98397.34
347,Amos Hughes,Dolan Villarreal,2023-05-02,86465.99
348,Isaac Vargas,Sarah Livingston,2022-08-26,92608.85
349,Samson Stewart,Ila Goodwin,2024-05-24,38282.65
350,Kylie Caldwell,Isaiah Mcclure,2022-08-10,13827.62
351,Finn Mayer,Halla Herrera,2022-10-08,69593.58
352,Hadassah Swanson,Madeson Lawrence,2024-05-16,63928.38
353,Arden Duran,Linus Sawyer,2022-08-01,51123.64
354,Clayton Roberts,Honorato Marsh,2023-01-15,27853.08
355,Hope Hayden,Neve Nichols,2023-07-30,51991.89
356,Plato Wall,Naomi Davis,2022-09-17,50326.71
357,Ryder Wright,Kessie Osborn,2023-03-22,70293.16
358,Unity Meadows,Mikayla Hewitt,2024-04-30,27973.08
359,Althea Alford,Richard Huffman,2023-05-01,82633.39
360,Leo Hancock,Cairo Stevens,2024-01-08,47140.5
361,Audra Hayden,Belle Tyson,2022-10-25,39032.37
362,Macon Burns,Sonya Massey,2024-05-01,47253.3
363,Daryl Brown,Melinda Stuart,2023-06-07,25274.25
364,Lois Caldwell,Ingrid Sexton,2023-06-13,2226.13
365,Charde Moses,Sylvester Haynes,2023-08-05,41957.82
366,Zephania Nash,Walter Barrett,2023-11-08,61044.52
367,Idona Kirk,Vladimir Saunders,2023-04-19,27345.99
368,Kaitlin Pennington,Andrew Floyd,2023-11-09,31570.81
369,Cherokee Humphrey,Selma Sharpe,2022-12-29,55809.51
370,May Russo,Stewart Mendez,2024-02-08,74603.19
371,Hermione Petty,MacKensie Merrill,2023-01-03,61979.07
372,Natalie Hansen,Meredith Webster,2023-10-31,63396.82
373,Maggie Maynard,Colby Contreras,2024-03-07,51274.77
374,Alice Morrison,Vincent Leonard,2022-10-05,21154.51
375,Daniel Wilkerson,Justine Rosales,2024-05-24,97116.28
376,Griffith Sheppard,Evan Ayers,2024-04-04,85026.64
377,Ima Dodson,Odessa Shepherd,2023-12-05,49736.45
378,Iona Hill,Ezekiel Juarez,2023-08-18,14621.71
379,Karina Valdez,Wylie Mcleod,2023-11-09,55900.88
380,Hamish Alston,Elvis Dillon,2022-10-26,34545.68
381,Morgan Hodges,Zena Browning,2022-09-12,78455.03
382,Moses Guy,Phillip Cash,2022-08-06,1937.13
383,Kennan Allison,Eric Cooke,2022-10-24,41090.7
384,Alvin Stein,Priscilla Ortega,2022-09-21,33699.86
385,Hedwig Soto,Chadwick Flores,2023-02-19,43885.46
386,Jeremy Levine,Jeremy Woodard,2024-05-12,24102.42
387,Paul Crosby,Kerry Mckinney,2023-10-07,52274.6
388,Eagan Greene,Wade Wagner,2024-01-09,95293.43
389,Gil Love,Clark Greer,2024-05-30,53811.42
390,Daryl Levine,Blake Booker,2022-12-25,94032.23
391,Cassidy Bryant,Alvin Waters,2023-08-28,877.7
392,Vivian Robinson,Astra Deleon,2023-03-23,53116.79
393,Kevin Clark,Theodore Holland,2023-10-02,59526.99
394,MacKenzie Blevins,James Vang,2023-12-27,34305.79
395,Imelda Smith,Quinn Owens,2022-06-17,23590.9
396,Keegan Tucker,William Green,2024-03-12,92396.96
397,Isabelle Porter,Kessie Shelton,2023-12-17,14548.55
398,Jarrod Stokes,Connor Jarvis,2023-03-23,54796.77
399,Jonas Ware,Hayden Mayo,2024-05-31,62569
400,Kane Hunt,Thomas Gallagher,2024-03-21,37279.74
401,September Boyle,Zelenia Salas,2023-06-26,78850.84
402,Timon Larson,Dara West,2023-04-17,1663.24
403,Shannon Patton,Ivy Fuentes,2024-03-01,88394.54
404,Acton Cherry,Beverly Mercado,2023-02-22,99895.01
405,Vivian Boyd,Chaney Finch,2023-05-04,24271.39
406,Aaron Shields,Ryder Rogers,2022-06-22,94492.55
407,Plato Washington,Matthew Flores,2023-05-17,78996.07
408,Halee King,Barrett Rowland,2023-08-12,97001.69
409,Adrienne Good,Brooke Mcmahon,2023-05-19,70874.49
410,Lee Robbins,Jason Webster,2022-06-23,29378.64
411,Hope Bishop,Idona Moreno,2022-09-13,55318.7
412,Aaron Maxwell,Tatum Glover,2023-06-04,62338.03
413,Madeson Burnett,Elizabeth Knapp,2024-01-11,2302.19
414,Sylvester Hodges,Glenna May,2022-06-12,26012.55
415,Beau Montoya,Robert Sykes,2022-09-20,74315.89
416,Perry Sykes,Kessie Diaz,2024-03-15,41260.54
417,Gary Beasley,Gareth Craig,2022-11-11,68295.14
418,Grady Adams,Palmer Spencer,2022-10-05,13018.96
419,Dylan Terrell,Samson Prince,2023-06-11,98248.78
420,Dale Short,Nyssa Pitts,2022-07-19,95709.78
421,Mark Landry,Kevyn Hammond,2022-08-08,50790.92
422,Hakeem Rosario,Bruno Mcpherson,2022-09-16,8972.65
423,Molly Stevens,Ginger Hammond,2023-03-18,68358.12
424,Noel Griffin,Claire Silva,2023-02-04,1696.46
425,Brittany Villarreal,Ross Morales,2022-08-12,4965.24
426,Bernard Cummings,Whilemina Robles,2023-08-05,87523.66
427,Darryl Vincent,Tyrone Hudson,2024-01-26,37296.33
428,Shelby Perry,Quinn Hays,2024-03-29,37246.09
429,Kiayada Walsh,Xyla Mcintyre,2023-12-16,31318.76
430,Hayley Cardenas,Hannah Hurst,2024-04-20,20364.02
431,Kerry Ross,Bernard Cross,2022-09-18,82717.94
432,Ferris Robinson,Caldwell Conner,2023-05-10,27383.06
433,Tarik Contreras,Venus Rios,2022-12-17,73769.09
434,Kathleen Richard,Hiram Ayala,2022-07-07,23794.15
435,Stone Booker,Ahmed Abbott,2022-11-06,13036.54
436,Thane Conrad,Hall Bryant,2022-06-28,66006.08
437,Briar Christian,Cathleen Hooper,2023-12-24,77329.68
438,Ivory Blackwell,Oleg Meadows,2022-10-02,32246.15
439,Graham Carver,Channing Estrada,2024-04-25,19543.45
440,Isadora Weber,Reece Langley,2024-03-11,39475.69
441,Celeste Craft,Britanney Cardenas,2024-05-18,82088.66
442,Xantha Kline,Mercedes Willis,2023-11-13,40734.51
443,Aline Elliott,Clinton Frederick,2024-03-27,94217.29
444,Iola Le,Rhoda Frazier,2024-03-16,56299.91
445,Leandra Franklin,Berk Reilly,2024-02-20,9501.72
446,Geraldine Giles,Kiona Lara,2023-10-14,61408.59
447,Giacomo Mccall,Zena Raymond,2023-10-30,28444.65
448,Yoshio Ortiz,Bernard Gordon,2023-03-23,63871.28
449,Aidan Clark,Silas Mooney,2023-07-25,71499.3
